Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","332.8665","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2022","2022","3050","FAO TIER 1","kt","501.76","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2022","2022","3050","FAO TIER 1","kt","87.3734","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2022","2022","3050","FAO TIER 1","kt","10957.3604","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","5059","Manure Management","2022","2022","3050","FAO TIER 1","kt","823.3694","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","5063","Manure left on Pasture","2022","2022","3050","FAO TIER 1","kt","2728.493","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","5062","Manure applied to Soils","2022","2022","3050","FAO TIER 1","kt","428.0545","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","5061","Synthetic Fertilizers","2022","2022","3050","FAO TIER 1","kt","143.6565","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6729","Drained organic soils","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","67292","Drained organic soils (CO2)","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","67291","Drained organic soils (N2O)","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6994","On-farm energy use","2022","2022","3050","FAO TIER 1","kt","108.6792","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6751","Forestland","2022","2022","3050","FAO TIER 1","kt","154.6574","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6750","Net Forest conversion","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6795","Savanna fires","2022","2022","3050","FAO TIER 1","kt","0.4067","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6993","Fires in organic soils","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6992","Forest fires","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","69921","Fires in humid tropical forests","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6991","Agrifood Systems Waste Disposal","2022","2022","3050","FAO TIER 1","kt","3631.8465","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6504","Fertilizers Manufacturing","2022","2022","3050","FAO TIER 1","kt","39.1","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6508","Food Retail","2022","2022","3050","FAO TIER 1","kt","690.5554","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6505","Food Household Consumption","2022","2022","3050","FAO TIER 1","kt","1592.0604","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6815","Food Transport","2022","2022","3050","FAO TIER 1","kt","564.7354","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6821","Energy","2022","2022","3050","FAO TIER 1","kt","13046.451","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6817","IPPU","2022","2022","3050","FAO TIER 1","kt","1078.3754","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6818","Waste","2022","2022","3050","FAO TIER 1","kt","6025.627","E","Estimated value",""
"GT","Emissions totals","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","6819","Other","2022","2022","3050","FAO TIER 1","kt","47.4908","E","Estimated value",""
"GT","Emissions totals","008","Albania","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2022","2022","3050","FAO TIER 1","kt","38.425","E","Estimated value",""
"GT","Emissions totals","008","Albania","723113","Emissions (CO2eq) (AR5)","5060","Rice Cultivation","2022","2022","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GT","Emissions totals","008","Albania","723113","Emissions (CO2eq) (AR5)","5066","Burning - Crop residues","2022","2022","3050","FAO TIER 1","kt","7.3795","E","Estimated value",""
"GT","Emissions totals","008","Albania","723113","Emissions (CO2eq) (AR5)","5058","Enteric Fermentation","2022","2022","3050","FAO TIER 1","kt","1358.1148","E","Estimated value",""
