Area,Item,Element,Year,Value
Brazil,Sugar cane,Crop residues (Emissions N2O),1961,
Brazil,Sugar cane,Crop residues (Emissions N2O),1962,
Brazil,Sugar cane,Crop residues (Emissions N2O),1963,
Brazil,Sugar cane,Crop residues (Emissions N2O),1964,
Brazil,Sugar cane,Crop residues (Emissions N2O),1965,
Brazil,Sugar cane,Crop residues (Emissions N2O),1966,
Brazil,Sugar cane,Crop residues (Emissions N2O),1967,
Brazil,Sugar cane,Crop residues (Emissions N2O),1968,
Brazil,Sugar cane,Crop residues (Emissions N2O),1969,
Brazil,Sugar cane,Crop residues (Emissions N2O),1970,
Brazil,Sugar cane,Crop residues (Emissions N2O),1971,
Brazil,Sugar cane,Crop residues (Emissions N2O),1972,
Brazil,Sugar cane,Crop residues (Emissions N2O),1973,
Brazil,Sugar cane,Crop residues (Emissions N2O),1974,
Brazil,Sugar cane,Crop residues (Emissions N2O),1975,
Brazil,Sugar cane,Crop residues (Emissions N2O),1976,
Brazil,Sugar cane,Crop residues (Emissions N2O),1977,
Brazil,Sugar cane,Crop residues (Emissions N2O),1978,
Brazil,Sugar cane,Crop residues (Emissions N2O),1979,
Brazil,Sugar cane,Crop residues (Emissions N2O),1980,
Brazil,Sugar cane,Crop residues (Emissions N2O),1981,
Brazil,Sugar cane,Crop residues (Emissions N2O),1982,
Brazil,Sugar cane,Crop residues (Emissions N2O),1983,
Brazil,Sugar cane,Crop residues (Emissions N2O),1984,
Brazil,Sugar cane,Crop residues (Emissions N2O),1985,
Brazil,Sugar cane,Crop residues (Emissions N2O),1986,
Brazil,Sugar cane,Crop residues (Emissions N2O),1987,
Brazil,Sugar cane,Crop residues (Emissions N2O),1988,
Brazil,Sugar cane,Crop residues (Emissions N2O),1989,
Brazil,Sugar cane,Crop residues (Emissions N2O),1990,
Brazil,Sugar cane,Crop residues (Emissions N2O),1991,
Brazil,Sugar cane,Crop residues (Emissions N2O),1992,
Brazil,Sugar cane,Crop residues (Emissions N2O),1993,
Brazil,Sugar cane,Crop residues (Emissions N2O),1994,
Brazil,Sugar cane,Crop residues (Emissions N2O),1995,
Brazil,Sugar cane,Crop residues (Emissions N2O),1996,
Brazil,Sugar cane,Crop residues (Emissions N2O),1997,
Brazil,Sugar cane,Crop residues (Emissions N2O),1998,
Brazil,Sugar cane,Crop residues (Emissions N2O),1999,
Brazil,Sugar cane,Crop residues (Emissions N2O),2000,
Brazil,Sugar cane,Crop residues (Emissions N2O),2001,
Brazil,Sugar cane,Crop residues (Emissions N2O),2002,
Brazil,Sugar cane,Crop residues (Emissions N2O),2003,
Brazil,Sugar cane,Crop residues (Emissions N2O),2004,
Brazil,Sugar cane,Crop residues (Emissions N2O),2005,
Brazil,Sugar cane,Crop residues (Emissions N2O),2006,
Brazil,Sugar cane,Crop residues (Emissions N2O),2007,
Brazil,Sugar cane,Crop residues (Emissions N2O),2008,
Brazil,Sugar cane,Crop residues (Emissions N2O),2009,
Brazil,Sugar cane,Crop residues (Emissions N2O),2010,
Brazil,Sugar cane,Crop residues (Emissions N2O),2011,
Brazil,Sugar cane,Crop residues (Emissions N2O),2012,
Brazil,Sugar cane,Crop residues (Emissions N2O),2013,
Brazil,Sugar cane,Crop residues (Emissions N2O),2014,
Brazil,Sugar cane,Crop residues (Emissions N2O),2015,
