Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","1990","1990","TJ","140823.9","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","1991","1991","TJ","146697.9","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","1992","1992","TJ","151160.9","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","1993","1993","TJ","167055.3","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","1994","1994","TJ","177355.8512","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","1995","1995","TJ","190997.1537","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","1996","1996","TJ","198872.1634","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","1997","1997","TJ","206416.022","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","1998","1998","TJ","197959.3293","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","1999","1999","TJ","208904.9854","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2000","2000","TJ","204686.7854","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2001","2001","TJ","226359.6707","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2002","2002","TJ","219625.3146","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2003","2003","TJ","220107.8146","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2004","2004","TJ","216570.9463","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2005","2005","TJ","214680.9463","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2006","2006","TJ","217618.022","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2007","2007","TJ","230331.7293","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2008","2008","TJ","256881.5171","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2009","2009","TJ","249399.5171","E","Estimated value"
"GN","Emissions from Energy use in agriculture","076","Brazil","72184","Energy use in agriculture","6801","Petroleum products","2010","2010","TJ","260980.9927","E","Estimated value"
