Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GCE","Emissions from Crops","004","Afghanistan","72392","Crop residues (N content)","0115","Barley","2022","2022","3050","FAO TIER 1","kg","1604851.0912","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72302","Crop residues (Emissions N2O)","0115","Barley","2022","2022","3050","FAO TIER 1","kt","0.0309","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72342","Crop residues (Direct emissions N2O)","0115","Barley","2022","2022","3050","FAO TIER 1","kt","0.0252","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72362","Crop residues (Indirect emissions N2O)","0115","Barley","2022","2022","3050","FAO TIER 1","kt","0.0057","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72392","Crop residues (N content)","0112","Maize (corn)","2022","2022","3050","FAO TIER 1","kg","2904701.0951","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72302","Crop residues (Emissions N2O)","0112","Maize (corn)","2022","2022","3050","FAO TIER 1","kt","0.0559","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72342","Crop residues (Direct emissions N2O)","0112","Maize (corn)","2022","2022","3050","FAO TIER 1","kt","0.0456","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72362","Crop residues (Indirect emissions N2O)","0112","Maize (corn)","2022","2022","3050","FAO TIER 1","kt","0.0103","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","7245","Burning crop residues (Biomass burned, dry matter)","0112","Maize (corn)","2022","2022","3050","FAO TIER 1","t","139000","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72307","Burning crop residues (Emissions N2O)","0112","Maize (corn)","2022","2022","3050","FAO TIER 1","kt","0.0097","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72257","Burning crop residues (Emissions CH4)","0112","Maize (corn)","2022","2022","3050","FAO TIER 1","kt","0.3753","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72302","Crop residues (Emissions N2O)","01802","Sugar cane","2022","2022","3050","FAO TIER 1","kt","","A","Official figure",""
"GCE","Emissions from Crops","004","Afghanistan","7245","Burning crop residues (Biomass burned, dry matter)","01802","Sugar cane","2022","2022","3050","FAO TIER 1","t","1300","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72307","Burning crop residues (Emissions N2O)","01802","Sugar cane","2022","2022","3050","FAO TIER 1","kt","0.0001","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72257","Burning crop residues (Emissions CH4)","01802","Sugar cane","2022","2022","3050","FAO TIER 1","kt","0.0035","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72392","Crop residues (N content)","0118","Millet","2022","2022","3050","FAO TIER 1","kg","19652.9294","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72302","Crop residues (Emissions N2O)","0118","Millet","2022","2022","3050","FAO TIER 1","kt","0.0004","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72342","Crop residues (Direct emissions N2O)","0118","Millet","2022","2022","3050","FAO TIER 1","kt","0.0003","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72362","Crop residues (Indirect emissions N2O)","0118","Millet","2022","2022","3050","FAO TIER 1","kt","0.0001","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72392","Crop residues (N content)","01510","Potatoes","2022","2022","3050","FAO TIER 1","kg","2086593.488","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72302","Crop residues (Emissions N2O)","01510","Potatoes","2022","2022","3050","FAO TIER 1","kt","0.0402","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72342","Crop residues (Direct emissions N2O)","01510","Potatoes","2022","2022","3050","FAO TIER 1","kt","0.0328","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72362","Crop residues (Indirect emissions N2O)","01510","Potatoes","2022","2022","3050","FAO TIER 1","kt","0.0074","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72392","Crop residues (N content)","0113","Rice","2022","2022","3050","FAO TIER 1","kg","7029552.7808","E","Estimated value",""
