Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"GN","Emissions from Energy use in agriculture","004","Afghanistan","72184","Energy use in agriculture","6807","Electricity","2022","2022","TJ","846","I","Imputed value"
"GN","Emissions from Energy use in agriculture","004","Afghanistan","7273","Emissions (CO2)","6807","Electricity","2022","2022","kt","108.2884","I","Imputed value"
"GN","Emissions from Energy use in agriculture","004","Afghanistan","7225","Emissions (CH4)","6807","Electricity","2022","2022","kt","0.0026","I","Imputed value"
"GN","Emissions from Energy use in agriculture","004","Afghanistan","7230","Emissions (N2O)","6807","Electricity","2022","2022","kt","0.0012","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","72184","Energy use in agriculture","6801","Petroleum products","2022","2022","TJ","3998.4788","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","7273","Emissions (CO2)","6801","Petroleum products","2022","2022","kt","300.5193","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","7225","Emissions (CH4)","6801","Petroleum products","2022","2022","kt","0.0377","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","7230","Emissions (N2O)","6801","Petroleum products","2022","2022","kt","0.0917","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","72184","Energy use in agriculture","6802","Natural gas","2022","2022","TJ","17.7588","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","7273","Emissions (CO2)","6802","Natural gas","2022","2022","kt","0.9963","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","7225","Emissions (CH4)","6802","Natural gas","2022","2022","kt","0.0001","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","7230","Emissions (N2O)","6802","Natural gas","2022","2022","kt","0","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","72184","Energy use in agriculture","6807","Electricity","2022","2022","TJ","583.9535","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","7273","Emissions (CO2)","6807","Electricity","2022","2022","kt","1.2004","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","7225","Emissions (CH4)","6807","Electricity","2022","2022","kt","0.0006","I","Imputed value"
"GN","Emissions from Energy use in agriculture","008","Albania","7230","Emissions (N2O)","6807","Electricity","2022","2022","kt","0.0001","I","Imputed value"
"GN","Emissions from Energy use in agriculture","012","Algeria","72184","Energy use in agriculture","6801","Petroleum products","2022","2022","TJ","1598.654","I","Imputed value"
"GN","Emissions from Energy use in agriculture","012","Algeria","7273","Emissions (CO2)","6801","Petroleum products","2022","2022","kt","107.8097","I","Imputed value"
