Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
China,Export,060310,Fresh cut flowers and buds,2023,World,134896.02,47774300,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Japan,47722.64,10256600,Kg
China,Export,060310,Fresh cut flowers and buds,2023,"Korea, Rep.",21689.04,4557320,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Thailand,20667.44,7575870,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Philippines,8533.06,1620470,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Singapore,7542.78,1281200,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Vietnam,6359.29,8401550,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Australia,5468.87,748899,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Malaysia,3730.06,474724,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Netherlands,1847.32,375118,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Mongolia,1800.59,389494,Kg
China,Export,060310,Fresh cut flowers and buds,2023,United States,1786.13,320676,Kg
China,Export,060310,Fresh cut flowers and buds,2023,United Arab Emirates,1397.55,213244,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Macao,1331.22,872049,Kg
China,Export,060310,Fresh cut flowers and buds,2023,"Hong Kong, China",1253.48,9804210,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Myanmar,857.94,456656,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Russian Federation,795.04,111537,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Indonesia,688.13,98826,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Kazakhstan,549.92,103522,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Bangladesh,330.5,37314,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Saudi Arabia,142.75,13709,Kg
China,Export,060310,Fresh cut flowers and buds,2023,India,67.1,8766,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Brunei,66.17,8538,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Oman,63.71,10069,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Sri Lanka,61.43,5790,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Germany,44.89,10500,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Turkey,37.73,5890,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Kyrgyz Republic,33.64,6530,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Unspecified,5.07,681,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Qatar,4.93,460,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Kuwait,4.13,924,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Cambodia,4.0,606,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Unspecified,3.4,409,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Nepal,3.0,485,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Lao PDR,2.84,1461,Kg
China,Export,060310,Fresh cut flowers and buds,2023,Belarus,0.17,92,Kg
China,Export,060310,Fresh cut flowers and buds,2023,New Zealand,0.08,100,Kg
Canada,Export,060310,Fresh cut flowers and buds,2023,World,108753.45,10335500,Kg
Canada,Export,060310,Fresh cut flowers and buds,2023,United States,108744.9,10334600,Kg
Canada,Export,060310,Fresh cut flowers and buds,2023,Saint Pierre and Miquelon,6.26,635,Kg
Canada,Export,060310,Fresh cut flowers and buds,2023,Netherlands,2.3,217,Kg
South Africa,Export,060310,Fresh cut flowers and buds,2023,World,56505.57,7165400,Kg
