Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Kenya,Export,060310,Fresh cut flowers and buds,2022,World,625669.38,169972000,Kg
China,Export,060310,Fresh cut flowers and buds,2022,World,135806.37,44270900,Kg
Canada,Export,060310,Fresh cut flowers and buds,2022,World,88925.95,10952800,Kg
South Africa,Export,060310,Fresh cut flowers and buds,2022,World,56374.32,7412660,Kg
United States,Export,060310,Fresh cut flowers and buds,2022,World,23423.35,2601830,Kg
India,Export,060310,Fresh cut flowers and buds,2022,World,9425.71,4885020,Kg
Indonesia,Export,060310,Fresh cut flowers and buds,2022,World,3907.77,1658650,Kg
Nigeria,Export,060310,Fresh cut flowers and buds,2022,World,1226.12,1005090,Kg
Brazil,Export,060310,Fresh cut flowers and buds,2022,World,58.88,9339,Kg
Netherlands (Kingdom of the),Export,060310,Fresh cut flowers and buds,2022,World,4462344.79,540236000,Kg
